nom_pmu,pere,mere,bms
FANTINE VISAIS,PACHA DU PONT,HADA,BUVETIER D'AUNOU
HIBOU D'ERPION,OPUS VIERVIL,MYRTILLE DES BOIS,TENOR DE BAUNE
FAUST LUDOIS,QUAKER JET,OSCAVIVA BOG,VIVALDI DE CHENU
GUINNESS ORADEL,QUIDO DU GOUTIER,NINA DU PETIT CLOS,FEBRILE
GUEPARD DE MONE,ORLANDO VICI,SOURIS DE MONE,GAZOUILLIS
HATHAWAY,UN AMOUR D'HAUFOR,ROQUEBRUNE,FIRST DE RETZ
GAVROCHE DU BELVER,JASMIN DE FLORE,SINDY DE LA NOE,GOETMALS WOOD
HAXOS DE DIGEON,LET'S GO ALONG,RADENSKA CLEM,HAND DU VIVIER
GALANTE DE TILLARD,ATHOS DES ELFES,TOISON DE TILLARD,LOOK DE STAR
FAST FORWARD,ATLAS DE JOUDES,NIGHT GOAL,BUVETIER D'AUNOU
HADES DU LAS VEGAS,PAGALOR,CARLA DU LAS VEGAS,JASMIN DE FLORE
HESTIA DU COMTAL,OLITRO,PARADE DU COMTAL,HALIFAX DU COMTAL
GENIE DU PIN,MERCENAIRE,PALEA DES JACQUETS,QUITO DE TALONAY
FEE DE CERISY,TUCSON,REINE DE LA MUETTE,ELVIS DE ROSSIGNOL
ESTIL D'OSTAL,LUDO DE CASTELLE,QUATELLE D'OSTAL,VIKING'S WAY
HIRINA DES RACQUES,AKIM DU CAP VERT,UNE DES RACQUES,AND ARIFANT
FESTIF DU RADON,KERIDO DU DONJON,NEGRITA DE MARZY,VIVALDI DE CHENU
GASPARD DES LOUPS,VICOMTE BOUFARCAUX,AURORE DES LOUPS,JAIN DE BEVAL
FLASH MCQUEEN,TORINO PIERJI,TORNADE DU RIEU,FORTUNA FANT
GRISOU ATOUT,NI HO PED D'OMBREE,TEMPETE D'ATOUT,GANYMEDE
GERGOVIA THUYAS,ATLAS DE JOUDES,UKA DES CHAUMES,KAISY DREAM
GYPSIE ROYALE,OFFSHORE DREAM,NYMPHE TURGOT,COKTAIL JET
GETEHI DU NOYER,ULF DU NOYER,UBIANA,NEOH JIEL
GENTLEMAN PIYA,OPUS VIERVIL,ROMA ANTIQUA,GRASSANO
KAMILA DES MONTS,NI HO PED D'OMBREE,ANNABA SPEED,NOTRE HAUFOR
GITANE DU RIB,SEVERINO,INOPALINE,QUITON DU CORAL
KENZA DE LA BESVRE,SINGALO,AVARA DE LA BESVRE,NOT DISTURB
KEROZIA DE REM,COUP DE POKER,NICOSIA,BUVETIER D'AUNOU
KAVALE D'ENFER,VIKING'S WAY,EVERLA,TIPOUF
KENNY PEARL,CAPTAIN SPARROW,JILLY PEARL,COKTAIL JET
KATINKA MIXO,UNO LA CHESNAIE,TANIE MAURITIUS,GOBERNADOR
GAZELLE DU BOURG,AMIRAL SACHA,VIOLETTE DES ELFES,INSERT GEDE
KHATUN BORTE,BOLD EAGLE,DALIXORIA,PRINCE D'ESPACE
KELLY JEPHI,CLASSIC WAY,ESCALE,GANYMEDE
KISS ME DUSSAC,ERIDAN,BALADE DE DAIDOU,NICE LOVE
KREATION DE L'AVRE,REAL DE LOU,EPHEDRA DARCHE,QUALMIO DE VANDEL
KINAYA D'OCCAGNES,TITAN D'OCCAGNES,ALGUE D'OCCAGNES,ODEISIS DE VANDEL
KLASSIK CHENEVIERE,TIMOKO,BODEGA CHENEVIERE,PRINCE DE CHARME
KAMINA PONT ROYAL,FEELING CASH,CYBELE D'ERPION,PRINCE GEDE
KOKOYA D'HERIPRE,UN MEC D'HERIPRE,ETOILE D'URZY,COKTAIL JET
KALINKA DU GRENAT,ARTISTE DE JOUDES,PACATA MARBOULA,JARDY
KARLA QUEEN,BRILLANTISSIME,PASSION DE MORGANE,COKTAIL JET
KEEN LADY,BOOSTER WINNER,A GREAT LADY,PASSWORD
KISS ME NESS,BIRD PARKER,AMINESS,PRODIGIOUS
KAMILONA CLUB,CELEBRISSIME,TSARINE D'ARDENNES,HULK DES CHAMPS
KARA DAG DOTHRAK,SAXO DE VANDEL,JOIE DE MAI,CYGNUS D'ODYSSEE
KOMELE,EARL SIMON,ULEXA DES PLANS,JAG DE BELLOUET
KALYPSO MI AMOR,EARL SIMON,ADDICTED TO LOVE,NICE LOVE
IMAKO VERDERIE,VIKING DE VAL,UTINA VERDERIE,GAZOUILLIS
IMPEC DE BERTRANGE,UN MEC D'HERIPRE,QUOKTELA DE ROZOY,COKTAIL JET
ILLUMINATOR,COKTAIL JET,LIBERTINE ROMANEE,BIESOLO
KALINE ELDE,CRISTAL MONEY,OK FLORIDE,HULK DES CHAMPS
IMAKER,DJANGO RIFF,BELGIAN BEAUTY,COKTAIL JET
INGMAN,CRISTAL MONEY,ALLURE DES CHARMES,GOBERNADOR
IDAHO PAULO,OURAGAN DE CELLAND,TA MEMERE,JOE L'AMOROSO
INTREPIDE BEJI,QUARO,CARA BEJI,OISEAU DE FEUX
IVONIC BREIZ,FULL ACCOUNT,MORA DE LA BESVRE,CAPRICCIO
J'AIME BARAKA,A NOUS TROIS,CHERIE BARAKA,THE BEST MADRIK
JAFA FOR EVER,SINGALO,VARSOVIE FOR EVER,VOICI DU NIEL
JEZILDA MAUVE,VILLEROI,EZILDA,RANCHO GEDE
JUNGLE SMART,URIEL SPEED,EVITA DU BELLAY,GOETMALS WOOD
JALISCA DE VANDEL,NIKY,MAELIA DE VANDEL,COKTAIL JET
JOY WOOD,LILIUM MADRIK,LESLIE WOOD,DIAMANT GEDE
JUTLAND,KEPLER,ATHENES,QUIDO DU GOUTIER
JUSTISSIME,BRILLANTISSIME,CANDISKA MAUZUN,GANYMEDE
JEUNE FILLE,ULYSSE,AXELLE DE SILLY,L'AS DU CAP VERT
JAVA DU COQ,TWIST DES CAILLONS,REINE DU COQ,GANYMEDE
JAYA STARDUST,ORLANDO VICI,SANTA ANITA,NOT DISTURB
JERRY PAULOIS,ECU PIERJI,CHIQUITITA,SAM BOURBON
JOYCE DES OLIVIERS,REPEAT LOVE,CAORCHES,GOETMALS WOOD
JUNIOR SACRE,CAPTAIN SPARROW,REINE SACREE,BON CONSEIL
JULLIAN DADDY,ECU PIERJI,TARTARA,TARASS BOULBA
JERICHO,BOLD EAGLE,ABSINTHE,QUATRE JUILLET
JULES DE LA FUTAIE,UN AMOUR D'HAUFOR,URANIA DU GUIBEL,NIL DU RIB
JALVENT MONTAVAL,DOBERMAN,SANDRA D'OCCAGNES,FLEURON PERRINE
JULIENAS DU HEURT,TAG WOOD,PEPITE DU HEURT,BACCARAT DU PONT
JANARDAL CLUB,TI PUNCH RIVER,TWISTESS CLUB,HULK DES CHAMPS
JACQUOT DU DOME,UN MEC D'HERIPRE,CHERRY LOVE,NICE LOVE
JEDEON CLEVILLE,ULEX GEDE,UBARA CLEVILLE,NEOH JIEL
CALANDAGAN,QUESO MANCHEGO,LEGENDE D'HISTOIRE,DERBY DU GITE
JOUR DE VEINE,LILIUM MADRIK,SACREE DUBONHEUR,KARIKAL
JOLENCIO DE WARNOC,ATLAS DE JOUDES,OLENCIA,EXTREME AUNOU
ELBAZ,OTELLO PIERJI,TEZIRA,JARDY
JURASSIF JOSSELYN,DJANGO RIFF,VIKA JOSSELYN,KAISY DREAM
JANVIER DE CELLES,VOLTIGEUR DE MYRT,URASINE DE CELLES,LYNX DE BELLOUET
CALYPSO KING,JAM PRIDEM,LAMBADA VINOIR,PASSIONNANT
SHADOW ART,,,
UN INSTANT,GAZON,EVIAN,PIERY
FORLONGE,PARIS HAUFOR,PAOLINA BELLA,GOETMALS WOOD
DALKAVA,PALEO DU FRUITIER,KAURELIA EL,CAMELIA DU DONJON
ALABAMA MOON,PERSHING (US),ITOGUERRIA,QUITO
DIDJIE,PIM QUICK,TROIKA GIRL,PODOSIS
DARLING DARLING,SAM BOURBON,QUEEN DARLING,COKTAIL JET
GALIMATIA,TADZIO DE LA MOTTE,URNICA,EOLE GRANDCHAMP
UZEL,BEAU LUDOIS L,FRAISIERE,LARRE F
INDIAN PACIFIC,SINGALO,LAMBADA JET,COKTAIL JET
NEPALAIS,BLIZZARD DE JIEL,BELLE KENDOR,RADJAH DE TALONAY
SALDURO,JOYEUX CHAMBON,VALDONE,NARIOCA
BAZOQUES,,NANA BRUYERES,COMTE D'ORANGE
ALERIO,HASTING,NEVARIETTA,QUITO DE TALONAY
SAJIR,DOGAN,JIANINA,TIDALIUM PELO
DRAGONET,QLOREST DU VIVIER,ORIOLIE,CHAMBON P
REVEILLER,ILLICO PRESTO,INIMA,SHINING
THE FIXER,,,
HAVANA CIGAR,VANISHING POINT,SORIA CHARLY,BIJOU DU BIGNON
POWER MODE,SEBRAZAC,CORISANA,LE LOIR
TAIRANN,CHEF DU CHATELET,NOA BRADOR,ELITO DE MANERBE
REMARQUEE,ILDO,KAMANGA,TAMANGO
KELINA,ARAKI,DOUCE QUELLY,TORNADO T
SAUTERNE,BUFFET II,ILE MARIE,FANDANGO
TYGRESS,MELCHIOR JET,JUSTICIERE,ACHILLE
KHAHIRA,DAHIR DE PRELONG,ULYSSIA DE NIZE,KAPRIUS
PAZ,GAZON,GANTROLETTE,FANDANGO
LEFT SEA,VIGOVE,GIPSY DES LOUANGES,BRUTUS DE BAILLY
GRANDE DAME,HETRE VERT,ASTRUD,PONTCARAL
LAULNE,GANGSTER DU WALLON,QUEEN DES ROMAINS,EPERVIER D'AUBRAC
CAVALLETTI,PRODIGIOUS,JANGA,DJANGO
EMPRESS WU,UPPERCUT DU RIB,SALSA PAT,MOOD WEST
MINOUSHKA,DAUPHIN,INOUCHKA,TIDALIUM PELO
MAYMAY,,ISIS,JAG DE BELLOUET
RAJINSKY,INSERT GEDE,QUATALINSKA,AMOUR N
MOON WOLF,PASSIONNANT,TRADITION,ERSIN
FASOL,SEIGNEUR RINGEAT,TYROLIENNE,JANISSAIRE
DIVA DONNA,REVIGNY,NANETTE,CHARDONNERET
EL MANIFICO,TUCSON,NIGELLA,CEDRE DU VIVIER
MARVANCO,ALEORD,COLOMBA D,QUEYJA
COSMAS,GOETMALS WOOD,SAMANTHA BLEUE,DEFI D'AUNOU
DALMAR,JET DU VIVIER,ONEVRAYE,HIGH ECHELON
NARCISSUS,BACCARAT DU PONT,EYRE,MON TOURBILLON
NAMASTE,CAPRICCIO,FEVEROLE,PASSIONNANT
STORMY,JEFF,KALINKAYA,CALINO
CHIEF MAMBO,ODEISIS DE VANDEL,NIVE MABON,GAZOUILLIS
SEKKU,DAPPER JAMES,LUCIA KUKY,ESOTICO STAR
KAMO,PETIT AMOY F,VERSION LATINE,GARDE PILE
ON Y VA,LOVE YOU,,
ARGENTUM,DORANIC D'OVILLARS,QUATTY DES BRIERES,BOUFFON
DARLINGTON,ODERIC,MATACHA,DIDALIUM
KITZBUEHEL,BOOSTER WINNER,ETOILE DE BREVOL,RIEUSSEC
TUPPES,LOUSTIC DE LA TOUR,HELGA DE LA BESVRE,TURNER
SUPERJET,JET DU VIVIER,NANA WILLIAMS,QUASIPYL
AORAKI,DORANIC D'OVILLARS,LADY DES LEUDETS,CHATELET
REAL LOVE,LOVE YOU,FORMIGNY,QUATARIN
EAGLEHAWK,THE BEST MADRIK,OLA D'HAUFOR,FLEURON PERRINE
WALID,,,
UNIQUE,CAID IV,NOA,ULRIC
NEXT DAWN,FIFTY KALOUMA,SEXY DU VIVIER,HAND DU VIVIER
MONALIE,TIBURCE,HALDECONDE,REZA GRANDCHAMP
BURNING ROSE,ORLANDO VICI,,
BI BOP,OBRILLANT,KENDIE GEDE,OPUS DEI
RHEKAS,DJANGO,IRMA MA BELLE,NISKO DU VIVIER
THORONDOR,BOLD EAGLE,,
TOPAN,KILT DU CADRAN,OPANELLE,CAPRIOR
LISAC,SABRE D'AVRIL,DAMINA MANNETOT,QUITO DE COURONNE
PINGPONG,AIGLE NOIR,DIANE DES HOULLES,PALEO
TANTE TILLY,JANISSAIRE,LILY LA VERNELLE,COMTE D'ORANGE
NAIRO,A VAU L'EAU,BAROUDIENNE,EBOUE WILKES
GATSBY GIRL,ATWOOD GRIFF,BAMBA SLY,LOVE YOU
ARANO,LOOK DE STAR,HEZIA JOSSELYN,BUVETIER D'AUNOU
HIGH FLIGHT,JET DU VIVIER,QUEEN DU MESNIL,URA
SARA,VILLEQUIER B,KARIOTZINA,MARIO
REPUTE,CETON F,KARINE VENDEENNE,ALEXIS III
FUNKY LADY,OYTILITY,QUELLE CLAYETTOISE,TATIUS
EL LEON,KEPLER,TARA SIMARDIERE,QUADROPHENIO
ASTORIA,MYOTO BARBES,PILAR DE BOURDENAY,DAUGA
EL FARAS,MARCO BONHEUR,FARIOLAINE,PADIRAC III
SAMMARCO,,,
PETIT MARIN,GAME JET,ETOILE DE VEDETTE,KHMER
LA VIE EST BELLE,JET DU VIVIER,CARLINA,BUFFET II
LA FEE DU NOYER,FACE TIME BOURBON,CIRCLE DRIVE,GOETMALS WOOD
LOUNA D'ESTIEU,ATLAS DE JOUDES,DORDOGNE,GOBERNADOR
FANTASTIC MOON,CARPE DIEM,UTOPIE MONESTO,ONYX DU GOUTIER
LITTLE STRAWBERRY,URIEL SPEED,FRAISE TAGADA,ROYAL DREAM
ISONZO,LINO MABON,UNE DE MARJKAT,BELLOUET
LUTECE JISCE,SCIPION DU GOUTIER,OFF COURSE,ARNAQUEUR
JACOVIA MADRIK,VALKO JENILAT,LACOVIA MADRIK,WORKAHOLIC (US)
JAZZ DU GOUTIER,READY CASH,UTOPIE DU GOUTIER,KAISY DREAM
JASMINE WINNER,UGOR DU BEAUVOISIN,SCARLA D'ORTIGE,KESACO PHEDO
JALIA D'AZERAY,OYONNAX,ALIYA D'EPLESSIER,GAZOUILLIS
JIVAGO TURGOT,ORLANDO VICI,QUOURAGANE,KOREAN
ICE DREAM KERUZOC,PRINCE GEDE,BEAUTY VA BENE,SAXO DE VANDEL
JOLIE DE CORTEM,LET'S GO ALONG,LA CALONNE,QUITO DE TALONAY
JACKPOT DES BORDES,VRAMDAO,QUITA DES BORDES,IMOKO
KYOTO GEMA,TIEGO D'ETANG,STELLA GEDE,FLEURON PERRINE
KID OF CROWN,FEELING CASH,UNION LOINTAINE,JEANBAT DU VIVIER
KRISS DE PLAY,AVENIR DE SEE,DOLLAR GIRL,MINOU DU DONJON
KLARCK,BRUTUS DE BAILLY,QUILEA DE FANNY,GERFAUT DE POULINE
JUNIOR DE PLAY,DRAGON DU FRESNE,AUBE D'ORTIGE,KAISER SOZE
KENJI D'AUBERVILLE,TAG WOOD,VALSE DES JACQUETS,QUALMIO DE VANDEL
KAIMAN PERRINE,DJANGO RIFF,UNE ILE PERRINE,PODOSIS
KASAR DE GENNES,VIGOVE,VALSE CHOUAN,VIVALDI DE CHENU
KRONOS,EARL SIMON,ETINCELLE DESTINEE,SAXO DE VANDEL
KING FORCE,ATLAS DE JOUDES,CLASSIC FORCE,LOOK DE STAR
GOODMOKO,UP AND QUICK,TINKA,KAISY DREAM
KALONEK DU MONT,PRINCE GEDE,URANIE STAR,JAIN DE BEVAL
FLOWER ETOILEE,REAL DE LOU,OREINE DE MORMAL,GOBERNADOR
GINGIRELLA,PERLANDO,PERNIK,FLEURON PERRINE
JULIANO DE PLAY,DRAGON DU FRESNE,ALL MOON,KAISY DREAM
IMPULSE LOTOIS,RADJAH DE L'ABBAYE,BETSY DU BOCAGE,QUAKER JET
FORUM,RIEUSSEC,UMBRIA,JAG DE BELLOUET
GRIZMAN,JAG DE BELLOUET,SOUVOLA,GOETMALS WOOD
GUNNAR LA MESANGE,QUAKER JET,VERA,PASSWORD
GALACTIC CASTELETS,JASMIN DE FLORE,STREET GIRL,GOETMALS WOOD
EASY DE TROUVILLE,HULK DES CHAMPS,ROSY DES CAILLONS,LUCKY D'HILLY
FABIOLA DE SALSA,PUNCHY,SALSA D'ACANTHE,IDEAL DE L'ITON
ILTON ROYAL,TAG WOOD,UMA ROYALE,IPSON DE MORMAL
IDOLA PHEDO,MAGNIFICENT RODNEY,QUERIDA PHEDO,FLEURON PERRINE
INDICE DELADOU,TIEGO D'ETANG,ROMY DE CHAUMIERE,L'AS DE VIRETAUTE
JACKPOT DU CHOQUEL,CLIF DU POMMEREUX,KAPRICIA D'ATOUT,CAPRICCIO
I LOVE D'AMOUR,LAETENTER DIEM,UGENIE D'HERFRAIE,HULK DES CHAMPS
JAZZ IN MONTREUX,AKIM DU CAP VERT,URGANZA,HULK DES CHAMPS
INIDILLE,REX NORMANUS,VENIDILLE,KESACO PHEDO
JADE PIERJI,VOLTIGEUR DE MYRT,PRETTIA PIERJI,QUADROPHENIO
JALONA,LONTZAC,UJALNA DE SOUVIGNE,IDEAL DE L'ITON
JOVIALE GEMA,SAXO DE VANDEL,ITALICA GEDE,WORKAHOLIC (US)
JAMAICA ISLAND,BOLD EAGLE,BAHAMA WOOD,GOETMALS WOOD
JESSY DE DAUX,VALKO JENILAT,VENATRIA,ORLANDO VICI
KRUNCH FOR MONEY,EARL SIMON,QUALITEUSE FOLLE,ARISTOTE
KINDER DE LA NAVE,BIRD PARKER,ANGELINA D'ARBAZ,QUAKER JET
KOALA DU HIDOUX,ULF D'OMBREE,ROUANEZ CREIOMIN,JALYS DU RONCEY
KATKO DES CHAMPS,URIEL SPEED,SIRENE DES CHAMPS,HULK DES CHAMPS
KAID FORTUNA,CHARLY DU NOYER,BAMBINA FORTUNA,BUVETIER D'AUNOU
KRAC DE GUIBRAY,EROS DU CHENE,VANINA DES CHARMES,NELSON DE VANDEL
KILLER DE CAHOT,VILLAGE MYSTIC,VIA DE CAHOT,PRODIGIOUS
KOOPER WINNER,BIRD PARKER,UDINE D'ODYSSEE,IPSON DE MORMAL
KHARNAS,MEMPHIS DU RIB,DEESSE DES HOUX,NUAGE DE LAIT
KRONOS DU GITE,UVEVERING DU GITE,ECUYERE DU GITE,GANYMEDE
KEOLA D'HERIPRE,FABULOUS WOOD,VEDETTA D'HERIPRE,ORLANDO VICI
KATSOUKA,UNIVERS DE PAN,NOTRE AUDACE,DEFI D'AUNOU
KENZA D'AMOUR,GOETMALS WOOD,ATTIRANCE D'AMOUR,NOT DISTURB
KATANA,EXPRESS JET,FOUJITA,UP AND QUICK
KAGNOTTE D'AZIF,URIEL SPEED,ALTESSE D'AZIF,GAI BRILLANT
KANELLE STAR,DAVIDSON DU PONT,FULL ACTION,LOVE YOU
KETTY WINNER AS,READY CASH,EACH TIME,COKTAIL JET
KEATANA DU METZ,TAG WOOD,PIN UP DU METZ,JAM PRIDEM
KANDIE D'ARDENNES,UNICLOVE,BARONNE D'ARDENNES,ONYX DU GOUTIER
KIRA BO FACE,READY CASH,BABSANE FACE,LOOK DE STAR
KIMIKO DU DOUBS,SAXO DE VANDEL,COVER GIRL,READY CASH
KINOA DU LIVIER,PRINCE D'ESPACE,CHIPEWWA GENTILLE,RIEUSSEC
KELJULA ZEN,BRILLANTISSIME,BARAKA D'HENLOU,DIAMANT GEDE
AL BASRA,NODESSO,JAVANINE,ODIN GRANDCHAMP
MEZNAH,CHAMBON P,UTOPIE DU FAY,IGUSKIA
KARLA DU CROATE,WORKAHOLIC (US),PAMELA DE BELLOUET,GREYHOUND
NUJWA,UJAFOU,BRIOCHE,OLTEN L
GREAT CHARLIE,ULTRA DUCAL,TOUTE CHARMEUSE,MOKTAR
NUAGE GRIS,ECLAIR DU PAM,GRAINE AU VENT,MON TOURBILLON
BLACK GAIA,GIANT CAT,JATIVA DU CHATELET,BLUE EYES AMERICA
QUDILLERO,BEAUSEJOUR II,FLORE FELLOW,ORAKI
JOHNNY DANCER,ROYAL LUDOIS,URAGE DADDOO,MIRAGE D'UDON
DANN,CYGNUS D'ODYSSEE,INTOX,SEBRAZAC
EMINENCE,SIAL DE JANEIRO,QUASSIE DE L'ARON,FAST DU GILET
AL AMARAH,NORGINIO,NOLLY DE ROSSIGNOL,BLUE EYES AMERICA
HABIBAH,CRISTAL MONEY,LEA DE FOURCADE,DAHIR DE PRELONG
IRILYA,KIMBERLAND,URSULA,JACKSON
KELLE STAR,LOOK DE STAR,QUEIMADA JHONS,HUGO DU BOSSIS
KETONIA,TONY M,TEE DES NEIGES,GI
MA GRISE,FACE TIME BOURBON,BRISBANE DU BOURG,JASMIN DE FLORE
LAMALINK,BIRD PARKER,BELLA ROMA,QUARO
PROELIA,FRANKLIN,AURELIA H,TIGRE ROYAL
GOTHA,QUECASTLY,MILLEPIERRE,CASDAR
MONSIEUR EMILE,SEBRAZAC,DRUIDESSE,WORKAHOLIC (US)
STYLE DE WAY,GAZON,LA BELLE MIKA,CALINO
GOLDEN CITY,LILIUM MADRIK,ORA SAINT LATUIN,HOOPER
SALT FLAKE,INSERT GEDE,LA STAR,DEFI D'AUNOU
BARBAGGIO,MONTECATINI,FLOWER BOWL,TRIOMPHE DE ROZOY
MOONLIGHT SHADOW,UN CHARME FOU,CALINE DES PLAGES,SCIPION DU GOUTIER
MONDA,VESUVE,ARTESIENNE,LE ROI D'ATOUT D
ELAF,HAFNIUM,LARA DE LA CHANA,BEAU JACQUES
POPORO,ENFANT DU CORTA,KERAHELA,CABALLERO IV
SULTANA,IN EXTREMIS,JANUINA,QUEL VEINARD
AMRITA,KALIN DU MONTIL,PERLE DE COLOMBIER,CASDAR
WINDJANA,,,
JUREER,OR DE JUDEE,ALIETTE,JOUR DE VEINE
VENT DU REVE,LAUDANUM,KELGANTE NOIRE,AIGLE NOIR
JUWEL VENUS,LIGHT KRONOS,,
TYRON HILL,JOACHIM,IDA WILLIAMS,BUG
FUN DE BELLANDE,NEW DES LANDES,SAGA DE L'ETRAT,ITON DU GITE
POWER ADAM,IPSON DE MORMAL,SAMBA DE PITZ,JET DU VIVIER
PENNYWISE,KRACK TIME ATOUT,AIDA D'HERIPRE,PRODIGIOUS
MYLO,VAL ROYAL,ATTRACTION FATALE,MEAULNES DU CORTA
RIMSKI,COROT,INES PIERJI,BLUE DREAM
MIRACLE,VIKING'S WAY,ECUME DE MER,MALROY
REMUS ECK,KAOLINO,FURINA KERVADEN,SIRE DE TRACY
OSCARELLO,DIANTHUS,UKY NORMANDE,LUCKY WILLIAMS
KRACK DU CLOCHER,ABANO AS,ULLA DE CLAIVINCE,MAGOT DU RAVARY
WINNETOU DIAMANT,,,
CATCH ME IF YOU CAN,ALV PEACEPIPE,,
DIAMANT VENUS,LIGHT KRONOS,,
CASHBACK PELLINI,READY CASH,GULIETTA BROLINE,PINE CHIP
FIRST CHOICE,PRODIGIOUS,ALL EDITION,ROCKLYN
THUNDER STAR,IN LOVE WITH YOU,ENVIE FOLLE,QUITO DE COURONNE
BRANSOM,PAN DE LA VAUDERE,ROSA BLANCA,ICARIOS
FADABOY,ROITELET S S,RADIOPYL,DARIUS II
BLUE IDOL,JAIN DE BEVAL,QUARDA DU RIB,GOBERNADOR
CASH KING,HULK DES CHAMPS,OROPA RINGEAT,HISTORIEN
ATLAS,JASMIN DE FLORE,NESKA,ESOTICO STAR
FORTUNE STAR,HETRE VERT,SCORPIA,BALFOUR
IMA,GANYMEDE,BALAMA,HAND DU VIVIER
MAXIMILIAN,GOETMALS WOOD,DIANE DU VAST,MON TOURBILLON
ATLANTEAN,KIMBERLAND,MARIANA,DAROLD II
GRAVITON,SAM BOURBON,STANDING OVATION,COKTAIL JET
AMORE AMORE,QUICK DE LA LOGE,PRINCESSE FANNY,BACCARAT DU PONT
FORTUNE WHEEL,OKWO,FERVENTE,VERMONT
ROCKY,CYGNUS D'ODYSSEE,HAYA,QUITO DE TALONAY
RED DRAGON,DIAMOND WAY (DE),,
SACRED GIFT,KUADRO WILD,INDIENNE GITANE,URS D'EREVAN
SUN OPS,,,
AKHTAR,CHAMBON P,DORALIE,FUCHSIA VII
REIGNITE,INDISCRET D'AX,ALBERTA VICTOR,JUAREZ
MAJOR KING,VILLAGE MYSTIC,TIMORA KISS,JAM PRIDEM
NUTELLA DOR,DJANGO RIFF,ILENA DE VANDEL,SCIPION DU GOUTIER
LANCETA,THEO DEL AMOR,VERATTA,MONTSURVENT
LADYBUG,OLITRO,BALADE DANOVER,LAND DANOVER
SR. INC,FEROE,MILADY KERMORVAN,TABRIZ
SUPREMO,GOGO,LYSKINE,URS D'EREVAN
LINDOLFO,ABANO AS,ADRIANA,NIFLOSAC
INTER WATCH,CYGNUS D'ODYSSEE,BALLE DE MATCH,RADJAH DE TALONAY
NALGON,VOLCAN DU LOT A,HALDONA DE MIRVIL,ALDO DE MIRVIL
CARIBENO,PODOSIS,MA JOLIE GOSSE,UTI ROGAS II
TRAPECISTA,,IONIE,JASS T
PORTER,GANDERO,GAGNANTE D'AMOUR,PILOBOLUS
RUBICON,COTENTIN,MANON DU TAILLIS,KERJACQUES
GARYPE,VITTEL,ILTIQUA,VAGABOND VII
RAYENI,CELESTE ODDI,IRICOLORE,UNICOLOR II
OLIMPO MT,S J'S PHOTO,,
JUMBO,COKTAIL JET,TURDANA,DAHIR DE PRELONG
FOOTSTEP,TIEGO D'ETANG,QUALICHITA,HUGO BARBES
OHIO SUN,IDAO DE TILLARD,CYGA DE VANDEL,GANYMEDE
DON MUSA,REAL DE LOU,ISOPTINE,REVE D'UDON
HER MAJESTY,URANIUM DE TILLARD,ULTIMA DU BUISSON,ELPENOR
LADINO,CORLAY,DUFHKA,QUERLHANK
EL CHANTA,GOETMALS WOOD,KANGONE,DEFI D'AUNOU
PLUTO,GUILBO,ARLITA,LE ROI D'ATOUT D
SMART LEO,EMMIUS,JAMILA,QUITOUPYL
GUESS WHO,,,
EGYPT,PITT CADE,MAURITANIE,DAHIR DE PRELONG
MAN OF WORD,DJANGO RIFF,BAHAMA WOOD,GOETMALS WOOD
KLOSE,BRUMMELL,CLOSERIE,WORKAHOLIC (US)
LONG OVER,ROYAL DREAM,VENDETTA DE JOUDES,PRODIGIOUS
CHACORTA,L'ALEZAN,PROPHETIE D'AMOUR,JOUJOU TOURTERELLE
ROGER,FEU VERT,JUDITH DU BACO,ANITOU
INOUIE D'AZIF,ALTO DE VIETTE,ALTESSE D'AZIF,GAI BRILLANT
IGNITE MATCH,ORLANDO VICI,PALEA DU ROSIER,EXTREME DREAM
INSTINCT DE JOMAX,BIRD PARKER,AVALONE JIEL,NOBILIS JIEL
IZZIA HIGHLAND,VERY NICE MARCEAUX,BISKRA,QUIDO DU GOUTIER
ITOKO DU BOCAGE,UNICLOVE,THESSALIENNE,L'AS DE VIRETAUTE
IDEAL DE TOUES,DOLLAR MACKER,BALTIQUE D'OR,SAM BOURBON
IDEE SHANNON,SUPERVISOR,TENTATION SHANNON,DEFI D'AUNOU
ILTON DE BELLANDE,SHADOW D'ODYSSEE,QUIETUDE ROSE,FRIPON ROSE
I AM DU VIVIER,SAM BOURBON,ROSE DE BRIOUZE,LOOK DE STAR
IBIZA DE BOURGOGNE,ROCKLYN,ARTEMIS DU GOUTIER,QUIDO DU GOUTIER
JURANIE,DOBERMAN,EMMY DE SOYORA,QUAKER JET
ISCHIA SAINT CLAIR,ARTISTE DE JOUDES,QLEA DE VILLENEUVE,GANYMEDE
HOSTO DES DURIEZ,OURAGAN DE CELLAND,ROMY DES DURIERS,LOOK DE STAR
JAISY DE CONROS,URZY,BLUFFEUSE DE PILOU,OYONNAX
HEROES LOULOU,NIKY,URSULA LOULOU,GOETMALS WOOD
JALEZIO,UNIVERS LOVE,SANTARA,GOGO
JARDIN D'ERABLE,COKTAIL JET,CILADY PIERJI,PRODIGIOUS
JADORE DES RACQUES,GOETMALS WOOD,SALOME DES RACQUES,COKTAIL JET
JAVA DES GENIEVRES,OPUS VIERVIL,ALMA DES GENIEVRES,INSERT GEDE
JACINTHE MAGUET,GOGO,AUDACE DE BELFIN,IN LOVE WITH YOU
JOLINE DU VERNET,COKTAIL JET,ULINE DU VERNET,NOT DISTURB
