race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
05082026_1_8,SAINT MALO,14,0,0,1,0,1,13,2026-08-05T17:30:12.649453+00:00
05082026_6_3,CAGNES/MER,12,7,0,0,0,0,5,2026-08-05T17:45:55.431279+00:00
05082026_6_4,CAGNES/MER,10,7,0,0,0,0,3,2026-08-05T18:10:10.520322+00:00
05082026_6_5,CAGNES/MER,13,0,0,0,0,0,13,2026-08-05T18:45:57.346143+00:00
05082026_6_6,CAGNES/MER,9,2,0,1,0,1,6,2026-08-05T19:15:39.139369+00:00
06082026_1_1,ENGHIEN,8,0,2,0,0,2,6,2026-08-06T13:45:43.172060+00:00
06082026_1_2,ENGHIEN,10,0,8,0,0,8,2,2026-08-06T14:15:44.246770+00:00
06082026_1_3,ENGHIEN,13,0,0,0,0,0,13,2026-08-06T14:45:54.269248+00:00
06082026_1_4,ENGHIEN,11,0,0,0,0,0,11,2026-08-06T15:35:17.514863+00:00
07082026_2_1,WOLVEGA,10,0,3,2,0,5,0,2026-08-07T08:30:53.392029+00:00
07082026_3_1,CHATEAUBRIANT,14,0,0,7,0,7,7,2026-08-07T08:45:43.059468+00:00
07082026_2_2,WOLVEGA,11,0,3,0,0,3,4,2026-08-07T09:01:11.992398+00:00
07082026_3_2,CHATEAUBRIANT,14,0,3,1,0,4,10,2026-08-07T09:15:42.082256+00:00
07082026_2_3,WOLVEGA,7,0,0,0,0,0,1,2026-08-07T09:30:55.208918+00:00
07082026_3_3,CHATEAUBRIANT,13,0,2,0,0,2,11,2026-08-07T09:44:08.562153+00:00
07082026_2_4,WOLVEGA,13,0,3,2,0,5,0,2026-08-07T10:01:02.998417+00:00
07082026_3_4,CHATEAUBRIANT,15,0,3,1,0,4,11,2026-08-07T10:15:47.604038+00:00
07082026_2_5,WOLVEGA,12,0,1,0,0,1,0,2026-08-07T10:30:54.600504+00:00
07082026_3_5,CHATEAUBRIANT,12,0,0,1,0,1,11,2026-08-07T10:45:43.673075+00:00
07082026_2_6,WOLVEGA,7,7,0,0,0,0,0,2026-08-07T11:15:42.672119+00:00
07082026_3_6,CHATEAUBRIANT,8,0,0,1,0,1,7,2026-08-07T11:30:59.405101+00:00
07082026_3_7,CHATEAUBRIANT,14,0,0,0,0,0,14,2026-08-07T12:01:07.283003+00:00
07082026_3_8,CHATEAUBRIANT,9,0,0,0,0,0,9,2026-08-07T12:31:04.944630+00:00
07082026_1_1,CABOURG,11,0,0,0,0,0,11,2026-08-07T15:45:42.138448+00:00
07082026_1_2,CABOURG,14,0,0,0,0,0,14,2026-08-07T16:30:57.569296+00:00
07082026_6_1,CAGNES/MER,8,6,0,0,0,0,2,2026-08-07T16:45:40.741213+00:00
07082026_1_3,CABOURG,13,0,0,1,0,1,12,2026-08-07T17:01:14.722062+00:00
07082026_6_2,CAGNES/MER,13,5,1,0,0,1,7,2026-08-07T17:15:49.179150+00:00
07082026_1_4,CABOURG,16,0,0,0,0,0,16,2026-08-07T17:45:52.665188+00:00
07082026_6_3,CAGNES/MER,10,4,0,0,0,0,6,2026-08-07T17:45:52.665188+00:00
07082026_1_5,CABOURG,11,0,0,1,0,1,10,2026-08-07T18:15:44.851152+00:00
07082026_6_4,CAGNES/MER,12,5,1,1,0,2,5,2026-08-07T18:15:44.851152+00:00
07082026_1_6,CABOURG,11,0,1,0,0,1,10,2026-08-07T18:45:41.288073+00:00
